num_epochs	QuantType	BPW	NormType	batch_size	learning_rate	lr_decay	step_size	network_width1	network_width2	network_width3	Parameters	Totalbits	Accuracy/train	Accuracy/test	Loss/train	Loss/test
30	8bit	8	RMS	128	0.001	0.1	10	80	80	80	34080	272640	99.89833069	98.08999634	0.006452073	0.076201476
30	None	32	RMS	128	0.001	0.1	10	32	32	32	10560	337920	98.88999939	97.47000122	0.04172992	0.089228399
30	8bit	8	RMS	128	0.001	0.1	10	96	96	96	43968	351744	99.95999908	98.31999969	0.003559482	0.066809647
30	4bitsym	4	RMS	128	0.001	0.1	10	160	160	160	93760	375040	99.99333191	98.52999878	0.001168294	0.062753431
30	8bit	8	RMS	128	0.001	0.1	10	128	128	128	66816	534528	99.98166656	98.26000214	0.001929083	0.069513015
30	None	32	RMS	128	0.001	0.1	10	48	48	48	17376	556032	99.66999817	97.61000061	0.016479535	0.081654519
30	8bit	8	RMS	128	0.001	0.1	10	160	160	160	93760	750080	99.9916687	98.31999969	0.000933084	0.067958511
30	None	32	RMS	128	0.001	0.1	10	64	64	64	25216	806912	99.25166321	98.75	0.025440145	0.043007035
30	None	32	RMS	128	0.001	0.1	10	64	64	64	25216	806912	99.88500214	98.12000275	0.007095081	0.06810613
30	None	32	RMS	128	0.001	0.1	10	64	64	64	25216	806912	99.87666321	98.08999634	0.007548976	0.075958706
30	None	32	RMS	128	0.001	0.1	10	64	64	64	25216	806912	99.54666901	98.09999847	0.016896078	0.076675124
30	None	32	RMS	128	0.001	0.1	10	64	64	64	25216	806912	99.83166504	98	0.008510431	0.07825122
